id,label,description,creator_id,created_at,deleted_at
18,"Pass their.","Energy policy old since attention provide indeed.",1,"2022-07-21 03:32:23+00:00","2022-10-21 03:32:23+00:00"
19,"Reality.","Draw company outside view anything no. Better well street weight especially job economic. Yet trouble manager public.",75,"2022-08-23 23:36:33+00:00",""
20,"Road rich.","Picture become matter two practice. Deep how despite article capital must.",58,"2022-02-02 03:57:36+00:00",""
21,"Face grow.","Teach sign hold region no language reach. Somebody position case check.",72,"2022-05-12 18:23:13+00:00","2022-10-12 18:23:13+00:00"
22,"Site pressure.","Should else apply mouth simply. Fact resource threat interesting chance.",16,"2022-06-29 23:35:58+00:00",""
23,"Mouth age.","Home involve really. Few can would either.",64,"2022-09-18 19:22:26+00:00",""
24,"Machine enjoy.","Leave guy result control although good I. Science friend month skill small herself long. People tough population enter.",87,"2022-11-03 17:04:16+00:00","2022-12-03 17:04:16+00:00"
25,"Teach.","Line inside painting wish office article. Voice company camera reach per.",91,"2022-10-12 20:20:26+00:00",""
26,"Thank star.","Whatever back near walk ten church popular. That wind wrong cold current and agreement.",89,"2022-03-22 09:00:44+00:00",""
27,"System also.","Worry almost long yard but tax hold. Take newspaper remain child have wife give.",85,"2022-05-20 16:42:43+00:00","2022-08-20 16:42:43+00:00"
28,"Certainly.","International close discussion often door friend. Senior nor every country.",52,"2022-10-23 02:54:01+00:00",""
29,"Near response.","Purpose middle anything. Protect moment section just report idea friend rise.",23,"2022-09-23 02:03:06+00:00",""
30,"Account.","News kid run. Instead fall case majority between. Debate what bad foot western.",5,"2022-04-26 06:17:03+00:00","2022-05-26 06:17:03+00:00"
31,"Somebody.","Likely food important father person.",72,"2022-03-17 22:08:03+00:00",""
32,"PM anyone.","City expect where compare. Subject media movie system book arrive. Adult off agency not rest senior seven woman.",27,"2022-06-11 01:23:05+00:00",""
33,"Where run risk.","Fact body buy significant opportunity defense. Happen still hundred wide.Score prevent fill response station to.",53,"2022-03-21 21:53:17+00:00","2022-09-21 21:53:17+00:00"
34,"American red.","Practice capital girl. Eat budget imagine could boy both decade.",11,"2022-01-05 23:31:48+00:00",""
35,"Field ability.","Machine box but play into laugh. Prevent star issue field space rich. Lose performance home or majority onto.",68,"2022-10-30 10:25:22+00:00",""
36,"Understand.","Yes drive scene believe. One could who expect. Cost executive crime fire grow voice over.",38,"2022-07-16 02:55:00+00:00","2022-12-16 02:55:00+00:00"
37,"Radio act know.","Authority eye security. Kind suggest low value so consider newspaper.",81,"2022-02-16 03:12:42+00:00",""
38,"Order.","My stay cause. About at they effect.Investment clearly though walk him. Line fly face discussion majority.",90,"2022-01-20 15:51:53+00:00",""
39,"Force PM.","Guy father serious little boy night region. Imagine military son whole research. Make travel term size property under.",11,"2022-01-08 12:42:36+00:00","2022-03-08 12:42:36+00:00"
40,"All bed out.","Among others give design. Meet none author same gas daughter.",44,"2022-07-02 20:30:52+00:00",""
41,"Evidence sign.","Knowledge environment course live save ground. Result off maintain left. Note include only future follow.",47,"2022-07-10 02:11:21+00:00",""
42,"National.","Source result agreement stage kind fine. Behavior hospital detail without decide guess high.",73,"2022-09-06 11:37:56+00:00","2023-03-06 11:37:56+00:00"
43,"Professor know.","Why defense save ability sing. Book rise rather yes.",18,"2022-10-08 14:21:15+00:00",""
44,"Charge brother.","Low development pay easy live various politics. Similar name finish reach here what stage across.",70,"2022-07-09 16:43:56+00:00",""
45,"Suffer half.","Guess bit actually free. Think month conference simply idea senior get power. Year article information body eye.",55,"2022-06-13 05:07:48+00:00","2022-10-13 05:07:48+00:00"
46,"They thus grow.","General put nice. Culture ready time almost.",8,"2022-03-28 00:35:23+00:00",""
47,"Future with.","Pretty woman check measure young draw. Anyone brother billion decide.",44,"2022-02-25 13:43:23+00:00",""
48,"Amount card.","Behavior manager career join particularly. Listen game attorney own.",66,"2022-06-03 06:42:15+00:00","2022-11-03 06:42:15+00:00"
49,"Course age.","Keep author later production. Create student grow cell phone threat.",3,"2022-04-11 02:28:45+00:00",""
50,"Six wrong.","Can little operation seven imagine. Its risk safe modern after middle table. Bring easy her explain yeah look.",81,"2022-05-09 00:53:10+00:00",""
